Name,Position,High School,College,Signing Class
A.J. Miller,LB,West Campus,SMU,1985
A.J. Smith,TE,Boerne ,Air Force,2006
Aaron Colvin,DL,Lee,Texas,1997
Aaron Green,RB,Madison,Nebraska,2011
Aaron Saunders,OL,Jay,Missouri,2004
Adam Arthur,DL,Reagan,UAB,2007
Addison Hopkins,DT,Alamo Heights,Rice,2003
Aldo De La Garza,OL,New Braunfels,Texas A&M,2002
Alex Jones-Duffy,DE,Reagan ,Air Force,2005
Alex Leslie,TE,New Braunfels,Iowa State,2013
Alex Lincoln,DE,Steele,North Texas,2011
Alex Van Pelt,QB,Churchill,Pittsburgh,1988
Allex Alvarado,TE,MacArthur,New Mexico,2003
Andre Wiggins,LB,Madison,Wake Forest,2011
Andrew Green,DB,Madison,Nebraska,2009
Andrew Sendejo,DB,Smithson Valley,Rice,2006
Andrew Tercek,OL,East Central,Boise State,2013
Andrew Williamson,DB,Stevens,Vanderbilt,2011
Andy Blount,WR,Bandera,North Texas,2001
Andy Hunter,TE,Clark,Texas,1984
Andy Obriotti,TE,Clark,Baylor,1997
Ansel Carter,DB,Judson,Minnesota,1995
Ansel Cole,ATH,Jay,Texas Tech,1981
Anthony Arline,DB,Madison,Baylor,2002
Anthony Beverley,RB,Jay,SMU,1981
Anthony Hutchinson,RB,Judson,Texas Tech,1979
Anthony Moore,DB,Judson,Baylor,2009
Aron Taylor,WR,Warren,UTSA,2013
Ashaad Mabry,DT,MacArthur,Oklahoma State,2011
Aubrey Raiford,OL,Kerrville Tivy,Texas A&M,1980
Austin Fallin,OL,Reagan,Air Force,2006
Austin Hays,WR,Reagan,Oklahoma State,2012
Austin Jupe,DB,East Central,Baylor,2013
Bart LaRocca,QB,Clark,Navy,1986
Baylen Brown,OL,O_Connor,Texas Tech,2013
Ben Davis,OL,Boerne,Texas Tech,2006
Ben Zachry,FB,Alamo Heights,Texas A&M,1982
Bill Haley,DT,Churchill,Rice,1988
Bill Holder,OL,Clark,SMU,1995
Blair Peterson,QB,Churchill,New Mexico ,2007
Blaire Sullivan,QB,Central Catholic,UTEP,2011
Bobby Nelson,OL,Alamo Heights,Air Force,1989
Bobby Vorphal,K/P,Judson,North Texas,1989
Brady Vavala,DL,St. Anthony,UTEP,2001
Brandon Armstrong,RB,Roosevelt,UTSA,2010
Brandon Cox,OL,Clemens,Army,2004
Brian Lyssy,OL,Karnes City,Rice,1992
Brian Natkin,TE,Churchill,UTEP,1996
Brock Stratton,LB,Roosevelt,BYU,2000
Bryan Gerlich,RB,La Vernia,Texas Tech,1987
Bryan Phillips,OL,MacArthur,Oklahoma State,1997
Bryan Sralla,DT,Kerrville Tivy,Baylor,1988
Bubba Smith,LB,Clark,Texas,1989
C.J. Johnson,DB,Judson,Texas Tech,2000
Calvin Howell,DL,Warren,Texas,2009
Calvin Robinson,DB,Jay,SMU,1994
Carlos McFall,DB,Roosevelt,Stanford,2004
Carlyle Holiday,QB,Roosevelt,Notre Dame,2000
Casey Keck,OL,Clark,Texas Tech,1999
Cedric Griffin,DB,Holmes,Texas,2001
Charles Britton,RB,Cole,TCU,1988
Charles Harrison,DB,Sam Houston,Texas,1990
Charles Ross,ATH,Clemens,Rice,2009
Charles Wort,LB,New Braunfels,UTSA,2012
Chip Lambert,RB,Judson,Texas Tech,1984
Chivas Pritchett,DT,Sam Houston,Kansas State,1988
Chris Bordano,LB,Southwest,SMU,1993
Chris Brasfield,WR,Jay,UTEP,1991
Chris Caflisch,QB,Madison,Texas A&M,2006
Chris Dausin,C,Roosevelt,Texas A&M,1988
Chris Evans,TE,Madison,Air Force,2003
Chris Foegelle,OL,NB Canyon,North Texas,1995
Chris Johnson,RB,East Central,UTSA,2010
Chris Lammers,OL,Churchill,Texas A&M,1982
Chris McAllister,LB,Judson,Baylor,2009
Chris McIver,DL,Taft,North Texas,1999
Chris Mitchell,OL,Reagan,Army,2003
Chris Pryor,RB,Judson,Texas Tech,1984
Chris Samuels,RB,Judson,Texas,1987
Chris West,ATH,Devine,New Mexico State,2007
Clenzie Pierson,OL,Southside,Rice,1979
Clifford Ellison,DB,Fox Tech,Baylor,1988
Clint Haney,RB,Smithson Valley,Texas,2002
Cody Beyer,WR,Smithson Valley,Texas A&M,2006
Cody Carlson,QB,Churchill,Baylor,1982
Cody Fuller,WR,Smithson Valley,Texas Tech,2001
Cody Moore,ATH,Comfort,TCU,2004
Cody Rogers,LB,Brandeis,UTSA,2010
Colin Blake,CB,Brandeis,Florida State,2012
Colton Hanson,OL,New Braunfels,Tulane,2012
Connor Smith,OL,Smithson Valley,Northwestern,2006
Corey Clark,OL,Smithson Valley,Texas A&M,2003
Corey Fuller,TE,La Vernia,TCU,2008
Corey Quye,OL,Marshall,Texas,1996
Corey Robinson,WR,San Antonio Christian,Notre Dame,2013
Cory Bennett,DE,Roosevelt,Oklahoma,2004
Cory Vavala,LB,St. Anthony,UTEP,2002
Crosby Adams,DB,Roosevelt,UTSA,2010
D.J. Jones,DB,Steele,Houston,2010
Damian Chandler,DB,Madison,Texas Tech,2000
Dan Kopplin,DL,Clark,UTEP,1990
Dana Hogan,DB,Jay,Rice,1990
Daniel Jolly,RB,Marshall,Colorado,2003
Daniel McCarty,OL,Alamo Heights,SMU,2013
Dannon Cavil,WR,Madison,Oklahoma,2013
Darik Dillard,RB,MacArthur,Rice,2012
Dario Davis,RB,MacArthur,UTEP,1998
Darnell Smith,LB,Taft,Oklahoma State,2002
Darnell Stephens,DB,Judson,Clemson,1991
Darrell Johnson,DB,Judson,TCU,1989
