Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
BRACKENRIDGE RD,SAN ANTONIO RIVER,0.2 MI S OF HILDEBRAND,Steel Truss - Thru,--,--,92.9,95.1,Structurally Deficient
CROCKETT ST,SAN ANTONIO RIVER,0.00 MI E OF N PRESA,Steel Truss - Thru,--,--,84,86,Structurally Deficient
S PRESA ST,SAN ANTONIO RIVER,0.1 MI S OF E COMMERCE,Steel Truss - Thru,--,--,100.1,100.1,Structurally Deficient
E COMMERCE ST,SAN ANTONIO RIVER,0.45 MI W OF IH 37,Concrete Tee beam (3 spans),1914,--,28.9,84,Functionally Obsolete
SOMERSET RD.,LEON CREEK,0.1 MI N OF CASSIN RD.,Concrete Arch - Deck (4 spans),1914,--,59.1,223.1,Structurally Deficient
N SAINT MARYS ST,SAN ANTONIO RIVER,0.05 MI N OF E MARTIN ST,Concrete Tee beam (3 spans),1915,1950,32.2,100.1,Functionally Obsolete
S SAINT MARYS ST,SAN ANTONIO RIVER,0.02 MI N OF VILLITA ST,Concrete Tee beam (2 spans),1915,1950,37.1,76.1,Functionally Obsolete
OLD SEGUIN ROAD,SALADO CREEK,0.25 MI W OF IH 35,Concrete Culvert (5 spans),1920,--,8.9,50.9,Structurally Deficient
NAVARRO ST,SAN ANTONIO RIVER,.05 S.OF N.ST.MARYS ST.,Concrete Tee beam (2 spans),1921,--,38.1,77.1,Functionally Obsolete
NAVARRO ST,SAN ANTONIO RIVER,0.03 MI S OF MARKET ST,Concrete Arch - Deck (3 spans),1922,--,53.2,159.1,Functionally Obsolete
QUINTANA ROAD,LIVE OAK SLOUGH,0.7 MI NW OF IH35 S,Concrete Culvert (6 spans),1925,--,7.9,54.1,Functionally Obsolete
GROSS LN,MEDINA RIVER,0.2 MI S OF MECHLER RD.,Concrete Culvert (4 spans),1925,--,5.9,27.9,Functionally Obsolete
E COMMERCE ST,SAN ANTONIO RIVER,0.05 MI W OF ST MARYS,Concrete Tee beam (2 spans),1925,--,36.1,73.2,Functionally Obsolete
OLD FREDRICKSBURG,LEON CREEK,0.2 MI N OF LOOP 1604,Concrete Culvert (7 spans),1925,--,6.9,58.1,Functionally Obsolete
E HOUSTON ST,SAN ANTONIO RIVER,0.05 MI W OF N ST MARY'S,Concrete Tee beam (3 spans),1925,--,35.1,107,Functionally Obsolete
N PRESA ST,SAN ANTONIO RIVER,0.1 MI N OF CROCKETT ST,Steel Truss - Thru,1925,--,96.1,178.2,Functionally Obsolete
QUINTANA ROAD,INDIAN CREEK,0.25 MI S OF CASSIN RD.,Concrete Culvert (3 spans),1925,--,9.8,33.1,Structurally Deficient
E RAMSEY ROAD,DRAW-NO NANE,0.15 MI NW OF ISOM RD,Concrete Culvert (3 spans),1925,1980,9.8,32.2,Functionally Obsolete
N SAINT MARYS ST,SAN ANTONIO RIVER,0.04 MI N OF COMMERCE ST,Concrete Tee beam (2 spans),1925,--,39,78.1,Functionally Obsolete
ASHLEY RD,SIX MILE CREEK,0.80 MI E OF ROOSEVELT,Concrete Culvert (2 spans),1926,--,12.1,24.9,Structurally Deficient
E HOUSTON ST,SALADO CREEK,.5 MI W OF E COMMERCE ST,Concrete Tee beam (10 spans),1926,1950,30.8,310.1,Functionally Obsolete
MARKET ST,SAN ANTONIO RIVER,0.03 MI W OF ALAMO ST,Concrete Tee beam (2 spans),1926,--,43,89.9,Functionally Obsolete
NEW SULPHUR SPRING,ROSILLO CREEK,0.15 MI E OF LP 410,Concrete Tee beam (2 spans),1926,1965,33.1,65.9,Functionally Obsolete
MILLER RD,MARTINEZ CREEK,0.4 MI S OF NEW BERLIN RD,Concrete Tee beam (7 spans),1926,--,30.8,216.9,Functionally Obsolete
MARKET ST,SAN ANTONIO RIVER,0.05 MI W OF ST MARYS ST,Concrete Tee beam (2 spans),1927,--,36.1,71.9,Functionally Obsolete
