sector,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Miami,5931,4602,7245,6032,7120,6020,4425,4651,4401,2509,1738
New Orleans,5151,2889,1358,3053,4018,4303,3527,3171,1509,474,500
Ramey,1688,1813,1619,1436,548,572,418,398,642,702,924
Blaine ,1380,1354,1001,811,749,954,843,673,591,537,360
Buffalo,564,671,400,1517,2191,3339,2672,2422,2114,1143,796
Detroit,2345,1912,1793,1281,902,961,1157,1669,1531,950,650
Grand Forks,1223,1225,754,518,497,541,472,543,468,418,469
Havre,1406,986,948,568,486,427,283,290,270,102,88
Houlton,292,263,233,175,95,81,59,56,41,41,37
Spokane,992,847,279,185,341,340,277,356,293,317,299
Swanton,1955,2701,1935,1544,1119,1282,1043,1422,815,702,531
Big Bend,10319,10530,10536,7520,5536,5391,6360,5288,4036,3964,3684
Del Rio,50145,53794,68506,42636,22920,20761,17082,14694,16144,21720,23510
El Centro,92099,74467,55722,61465,55883,40961,33521,32562,30191,23916,16306
El Paso,88816,104399,122679,122256,75464,30312,14999,12251,10345,9678,11154
Laredo,70521,74706,75346,74840,56714,43658,40569,35287,36053,44872,50749
Rio Grande Valley,77749,92947,134186,110528,73430,75473,60989,59766,59243,97762,154453
San Diego,111515,138608,126904,142104,152460,162390,118721,68565,42447,28461,27496
Tucson,347263,491771,439079,392074,378239,317696,241673,212202,123285,120000,120939
Yuma,56638,98060,138438,118549,37992,8363,6951,7116,5833,6500,6106
Coastal Border,16335,11154,10336,10521,11686,10895,8370,8220,6552,3685,3162
Northern Border,10157,9959,7343,6599,6380,7925,6806,7431,6123,4210,3230
Southwest Border,905065,1139282,1171396,1071972,858638,705005,540865,447731,327577,356873,414397
Livermore,3565,1850,114,,,,,,,,
