Item,Category,Price,Quantity Sold,Total Amount
MAXWELL BAG,BEVERAGE NON TAX,$7.19 ,"46,644","$335,370.36 "
SOUP-CHILI,FOOD NON TAX,$0.86 ,"195,697","$168,299.42 "
SOUP-PICANTE BEEF,FOOD NON TAX,$0.86 ,"189,270","$162,772.20 "
INSTANT COFFEE,BEVERAGE NON TAX,$4.91 ,"25,565","$125,524.15 "
CHEETOS FLAMING HOT,CHIPS&SNCKS NON TAX,$1.19 ,"102,688","$122,198.72 "
SOUP - CHICKEN,FOOD NON TAX,$0.86 ,"110,836","$95,318.96 "
ICED GRAND HONEY BUN,COOK&PSTRIES NON TAX,$1.56 ,"56,594","$88,286.64 "
SOUP - BEEF,FOOD NON TAX,$0.86 ,"95,170","$81,846.20 "
AAA BATTERY 2PK,GENERAL MERCHANDISE,$2.36 ,"33,066","$78,035.76 "
HONEY BUN,COOK&PSTRIES NON TAX,$1.36 ,"54,369","$73,941.84 "
HOT REFRIED BEANS,FOOD NON TAX,$2.06 ,"35,340","$72,800.40 "
FRITOS CHILI CHEESE,CHIPS&SNCKS NON TAX,$1.19 ,"61,011","$72,603.09 "
SUGAR SUBSTITUTE 100CT,FOOD NON TAX,$3.76 ,"19,301","$72,571.76 "
STAMPED ENVELOPE,POSTAGE,$0.82 ,"87,542","$71,784.44 "
BOOK OF STAMPS,POSTAGE,$9.30 ,"6,673","$62,058.90 "
WALKMAN RADIO,GENERAL MERCHANDISE,$31.99 ,"1,713","$54,798.87 "
FRITOS HOT PORK SKINS,CHIPS&SNCKS NON TAX,$1.19 ,"43,899","$52,239.81 "
DORITOS NACHO,CHIPS&SNCKS NON TAX,$1.19 ,"40,359","$48,027.21 "
PEANUT BUTTER JAR,FOOD NON TAX,$5.46 ,"8,460","$46,191.60 "
HOT CHOCOLATE SNGL,BEVERAGE NON TAX,$0.56 ,"81,119","$45,426.64 "
RUFFLES S/C CHEDDAR,CHIPS&SNCKS NON TAX,$1.19 ,"37,783","$44,961.77 "
CREAMER CANISTER,FOOD NON TAX,$3.66 ,"11,968","$43,802.88 "
CHESTERS HOT FRIES,CHIPS&SNCKS NON TAX,$1.19 ,"35,404","$42,130.76 "
JOLLY RANCHERS,CANDY,$1.55 ,"22,732","$35,234.60 "
CHOC CUP CAKE,COOK&PSTRIES NON TAX,$1.36 ,"23,890","$32,490.40 "
COOKIES-DUPLEX,COOK&PSTRIES NON TAX,$1.36 ,"23,801","$32,369.36 "
SUGAR CANISTER,FOOD NON TAX,$3.99 ,"7,977","$31,828.23 "
ATOMIC FIRE BALLS,CANDY,$1.39 ,"21,736","$30,213.04 "
IRISH SPRING,HEALTH & BEAUTY,$1.59 ,"18,606","$29,583.54 "
SUMMER SAUSAGE,FOOD NON TAX,$3.39 ,"8,471","$28,716.69 "
CLEAR INK PEN,GENERAL MERCHANDISE,$0.86 ,"33,364","$28,693.04 "
JALAPENO CHSE BOTTLE,FOOD NON TAX,$5.36 ,"5,317","$28,499.12 "
VO5 SHAMPOO,HEALTH & BEAUTY,$3.62 ,"7,709","$27,906.58 "
SNICKERS,CANDY,$1.39 ,"19,136","$26,599.04 "
TUNA POUCH,FOOD NON TAX,$3.06 ,"8,621","$26,380.26 "
SOAP-DEODORANT  (DIAL LIKE),HEALTH & BEAUTY,$1.64 ,"15,097","$24,759.08 "
COLGATE TOOTHPASTE,HEALTH & BEAUTY,$3.32 ,"7,296","$24,222.72 "
