"provider_id","Hospital","City","County","Heart Attack Mortality Rate","Heart Attack Mortality Versus National Rate","Heart Attack Readmission Rate","Heart Attack Readmission Rate Versus National Rate","Heart Failure Mortality Rate","Heart Failure Mortality Versus National Rate","Heart Failure Readmission Rate","Heart Failure Readmission Rate Versus National Rate"
"450002","PROVIDENCE MEMORIAL HOSPITAL","EL PASO","EL PASO","16.9","No Different","17.6","No Different","9.6","No Different","21.3","No Different"
"450005","MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","ORANGE","ORANGE","15.3","No Different","17.4","No Different","15.3","No Different","22.1","No Different"
"450007","PETERSON REGIONAL MEDICAL CENTER","KERRVILLE","KERR","15.1","No Different","18.1","No Different","11.9","No Different","19.3","No Different"
"450010","UNITED REGIONAL HEALTH CARE SYSTEM","WICHITA FALLS","WICHITA","16.9","No Different","17.6","No Different","15.9","Worse","22.6","No Different"
"450011","ST JOSEPH REGIONAL HEALTH CENTER","BRYAN","BRAZOS","14.5","No Different","17.1","No Different","14.1","Worse","22.7","No Different"
"450015","PARKLAND HEALTH AND HOSPITAL SYSTEM","DALLAS","DALLAS","12.8","No Different","18.8","No Different","10.6","No Different","20.8","No Different"
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","GALVESTON","GALVESTON","15.6","No Different","19.3","No Different","12.4","No Different","23.2","No Different"
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","DALLAS","DALLAS","15.6","No Different","18.2","No Different","12.5","No Different","19.2","Better"
"450023","CITIZENS MEDICAL CENTER","VICTORIA","VICTORIA","14.9","No Different","17.8","No Different","10.5","No Different","22.4","No Different"
"450024","UNIVERSITY MEDICAL CENTER OF EL PASO","EL PASO","EL PASO","14.1","No Different","18.0","No Different","14.4","No Different","21.8","No Different"
"450028","VHS BROWNSVILLE HOSPITAL COMPANY, LLC","BROWNSVILLE","CAMERON","15.1","No Different","19.0","No Different","11.7","No Different","22.9","No Different"
"450029","LAREDO MEDICAL CENTER","LAREDO","WEBB","20.4","Worse","18.1","No Different","10.9","No Different","24.2","No Different"
"450032","GOOD SHEPHERD MEDICAL CENTER MARSHALL","MARSHALL","HARRISON","14.9","No Different","Not Available","Number of Cases Too Small","12.1","No Different","26.4","No Different"
"450033","VHS HARLINGEN HOSPITAL COMPANY LLC","HARLINGEN","CAMERON","15.0","No Different","18.3","No Different","12.2","No Different","24.0","No Different"
"450034","CHRISTUS HOSPITAL","BEAUMONT","JEFFERSON","14.7","No Different","17.2","No Different","14.1","Worse","24.7","No Different"
"450035","ST JOSEPH MEDICAL CENTER","HOUSTON","HARRIS","16.4","No Different","17.4","No Different","10.0","No Different","23.5","No Different"
"450037","GOOD SHEPHERD MEDICAL CENTER","LONGVIEW","GREGG","15.3","No Different","17.7","No Different","9.8","Better","23.8","No Different"
"450039","JPS HEALTH NETWORK","FORT WORTH","TARRANT","16.4","No Different","17.9","No Different","11.0","No Different","22.9","No Different"
"450040","COVENANT MEDICAL CENTER","LUBBOCK","LUBBOCK","13.9","No Different","17.4","No Different","11.7","No Different","22.7","No Different"
"450042","PROVIDENCE HEALTH CENTER","WACO","MCLENNAN","14.8","No Different","18.1","No Different","12.6","No Different","22.4","No Different"
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL","DALLAS","DALLAS","13.2","No Different","17.1","No Different","9.1","Better","21.7","No Different"
"450046","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI","CORPUS CHRISTI","NUECES","16.3","No Different","18.5","No Different","10.9","No Different","22.7","No Different"
"450051","METHODIST DALLAS MEDICAL CENTER","DALLAS","DALLAS","16.9","No Different","18.7","No Different","10.7","No Different","25.3","No Different"
"450052","GOODALL WITCHER HOSPITAL","CLIFTON","BOSQUE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","13.4","No Different","24.2","No Different"
"450054","SCOTT & WHITE MEMORIAL HOSPITAL","TEMPLE","BELL","13.0","No Different","18.5","No Different","10.7","No Different","23.0","No Different"
"450055","ROLLING PLAINS MEMORIAL HOSPITAL","SWEETWATER","NOLAN","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.3","No Different","22.4","No Different"
"450056","SETON MEDICAL CENTER AUSTIN","AUSTIN","TRAVIS","12.4","No Different","19.0","No Different","11.0","No Different","22.6","No Different"
