Name,Address,City,Type,Submitted Amount,Allowed Amount,Medicare Payment Amount
CITY OF SAN ANTONIO,115 AUDITORIUM CIR ,SAN ANTONIO,Ambulance Service Supplier,10964375.2,6824633.43,5406218.15
"RAO, JAYASREE N",19288 STONE OAK PKWY ,SAN ANTONIO,Hematology/Oncology,8409037,4195356.4,3329065.24
"DABAS, BASEL",12501 JUDSON RD SUITE 102,LIVE OAK,Medical Oncology,14313480.17,4137834.48,3237468.87
"METRO AMBULANCE, LP",129 COMMERCIAL PL ,SCHERTZ,Ambulance Service Supplier,8556928,4047614.06,3227664.71
SAN ANTONIO ASC L.P.,5255 PRUE RD SUITE 100,SAN ANTONIO,Ambulatory Surgical Center,28803353.64,3801540.9,3005943.98
"CABRERA, TIMOTEO",303 N FRIO ST ,SAN ANTONIO,Nephrology,9245241,3743018.83,2930626.14
"OEI, THOMAS O",1100 N MAIN AVE ,SAN ANTONIO,Ophthalmology,7500966,3673638.39,2862528.89
"ENGLISH, WILLIAM",111 DALLAS ST STE 200-A,SAN ANTONIO,Vascular Surgery,12142878,3475337.67,2720977.36
"SELVA, MICHAEL A",7718 LOUIS PASTEUR CT ,SAN ANTONIO,Radiation Oncology,16812521,3434597.83,2706349.44
"BAUMAN, WENDALL",11651 TOEPPERWEIN RD STE 201,LIVE OAK,Ophthalmology,7856340,2944216.82,2314007.48
LABORATORY CORPORATION OF AMERICA,6603 FIRST PARK TEN BLVD ,SAN ANTONIO,Clinical Laboratory,5005673.07,2096504.99,2013081.87
"PATHOLOGY REFERENCE LABORATORY, L.L.C.",9600 DATAPOINT DR ,SAN ANTONIO,Clinical Laboratory,4243314,2435385.92,1958248.46
"GEMINI AMBULANCE SERVICE, INC.",2897 NE LOOP 410 STE 1 ,SAN ANTONIO,Ambulance Service Supplier,6732732.21,2393775.68,1910352.61
"LANE, RICHARD G",9480 HUEBNER RD STE 310 ,SAN ANTONIO,Ophthalmology,4864864.52,2388003.45,1894133.86
"EYRE, KEITH E",4383 MEDICAL DR ,SAN ANTONIO,Radiation Oncology,9997857.92,2394441.03,1894035.99
"FRITCHER, SETH H",4330 MEDICAL DR SUITE 120,SAN ANTONIO,Emergency Medicine,8088715,2305502.48,1837077.04
"GERGES, ANWAR S",215 E QUINCY ST SUITE 610,SAN ANTONIO,Nephrology,6381643,2257317.13,1797683.8
"MEIN, CALVIN E",9480 HUEBNER RD SUITE 310,SAN ANTONIO,Ophthalmology,4286207.57,2250306.12,1765886.91
"KIESZ, RADOSLAW S",18615 TUSCANY STONE SUITE 170,SAN ANTONIO,Cardiology,12406205.64,2039162.56,1614821.01
"SHARAF, RASHID",5131 MEDICAL DR SUITE 120,SAN ANTONIO,Nephrology,4847895,2033676.52,1588601.53
"CHICA, MOISES A",9480 HUEBNER RD SUITE 310,SAN ANTONIO,Ophthalmology,3985062.03,1969327.45,1541133.09
"DAGGUBATI, SREEDEVI",4411 MEDICAL DR ,SAN ANTONIO,Hematology,6584929,1850415.26,1477196.96
"BROWN, JEREMIAH",17319 IH 35 N SUITE 303,SCHERTZ,Ophthalmology,4422859.05,1851583.4,1459741.91
"KALTER, STEVEN P",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,5395189.8,1785769.04,1428081.14
"ARORA, UMESH K",1314 E. SONTERRA BLVD. STE. 102,SAN ANTONIO,Cardiology,3842445.52,1802907.51,1406200.17
"SINGER, MICHAEL A",9157 HUEBNER RD ,SAN ANTONIO,Ophthalmology,3784715,1744115.49,1346525.97
"BROUMAND, VARSHASB",343 W HOUSTON ST STE 609 ,SAN ANTONIO,Nephrology,3664151.6,1682231.43,1298748.6
"KAPOOR, ROHIT",12602 TOEPPERWEIN RD STE 114 ,LIVE OAK,Hematology/Oncology,5515161.22,1667041.67,1294432.46
ADVANCED IMAGING SERVICES,5501 GRISSOM ROAD SUITE 103,SAN ANTONIO,Portable X-ray,1705888.21,1638118.61,1283828.5
"GAGNON, MICHAEL J",2130 NE LOOP 410 SUITE #100,SAN ANTONIO,Radiation Oncology,6615926,1622227.82,1281302.56
"SZEWC, ROBERT G",315 N SAN SABA SUITE 102,SAN ANTONIO,Nephrology,2567244.14,1555173.05,1232030.63
"BUTT, QASIM A",343 W HOUSTON ST STE 609 ,SAN ANTONIO,Nephrology,3318981.1,1535220.25,1208924.88
"ULMER, SCOTT C",155 E SONTERRA BLVD SUITE 200,SAN ANTONIO,Hematology/Oncology,4508880.35,1503735.16,1201912.48
"HOLY, SARAH E",9480 HUEBNER RD SUITE 310,SAN ANTONIO,Ophthalmology,2768801.95,1502887.75,1190869.17
"WOOD, DAVID A",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,5917347.66,1440691.92,1134835.7
"GASTROENTEROLOGY CONSULTANTS OF SAN ANTONIO, P.A.",8214 WURZBACH RD ,SAN ANTONIO,Ambulatory Surgical Center,5019941,1382563.59,1124748.57
AMERICANA AMBULANCE,4127 E. SOUTHCROSS BLVD ,SAN ANTONIO,Ambulance Service Supplier,3634549.75,1378159.96,1093470.6
"LYONS, ROGER M",4411 MEDICAL DR ,SAN ANTONIO,Hematology,4493521,1348047.33,1081432.13
"DRENGLER, RONALD L",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,3972695.49,1298235.06,1032245.67
"REINSMITH, LANCE E",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,4477491.22,1292806.03,1024909.77
"WU, WILLIAM C",927 MCCULLOUGH AVE ,SAN ANTONIO,Cardiology,3773678.86,1276459.3,1011205.01
"MCCRACKEN, JOSEPH D",1200 BROOKLYN AVE SUITE #115,SAN ANTONIO,Hematology/Oncology,4281326,1260253.35,1008451.99
NOVAMED SURGERY CENTER OF SAN ANTONIO LP,7810 LOUIS PASTEUR SUITE 100,SAN ANTONIO,Ambulatory Surgical Center,4378295,1272299.15,1002677.56
ORTHOPAEDIC SURGERY CENTER OF SAN ANTONIO LP,400 CONCORD PLAZA DR SUITE 200,SAN ANTONIO,Ambulatory Surgical Center,9009321.94,1281155.55,997509.45
CHRISTUS SANTA ROSA PASC-SAN ANTONIO LLC,423 TREELINE PARK SUITE 202,SAN ANTONIO,Ambulatory Surgical Center,9457664,1254058.97,974397.68
"KEMPF, MELISSA M",14100 SAN PEDRO SUITE 450,SAN ANTONIO,Family Practice,2840952.34,1231848.09,967531.24
"CHALLAGUNDLA, SUNEETHA",4411 MEDICAL DR STE. 100,SAN ANTONIO,Hematology/Oncology,4022917,1207110.52,967080.53
ALAMO HEIGHTS SURGICARE LP,5307 BROADWAY STE 100,SAN ANTONIO,Ambulatory Surgical Center,14006659.5,1190479.82,932430.04
"KASPERKHAN, JIBRAIL",16906 HIDDEN OAK WOODS ,SAN ANTONIO,Internal Medicine,1427355,1170594.89,903568.95
AMERICAN MEDICAL RESPONSE AMBULANCE SERVICE INC,11911 RADIUM ST ,SAN ANTONIO,Ambulance Service Supplier,2615345.02,1141806.02,901112.85
PASTEUR PLAZA SURGERY CENTER LP,7909 FREDERICKSBURG RD SUITE 222,SAN ANTONIO,Ambulatory Surgical Center,4167009,1164100.52,901057.84
"MEDELLIN, JESSE E",1200 BROOKLYN AVE SUITE #115,SAN ANTONIO,Hematology/Oncology,4150476,1113848.48,897497.48
SAN ANTONIO TX ENDOSCOPY ASC LP,520 E EUCLID AVE ,SAN ANTONIO,Ambulatory Surgical Center,5216600,1074785.93,884529.35
THEDA OAKS GASTROENTEROLOGY & ENDOSCOPY CENTER LTD.,19226 STONEHUE STE 103 ,SAN ANTONIO,Ambulatory Surgical Center,11420150,1106217.93,872868.63
"BEERAM, SRIDHAR",4411 MEDICAL DR STE 100 ,SAN ANTONIO,Hematology/Oncology,3485651,1096887.48,869680.86
"BELL, DARREN J",9157 HUEBNER RD ,SAN ANTONIO,Ophthalmology,2495675,1107416.11,864382.67
