"Name","Address","Zip","Amount"
"TOST BISTRO & WINE BAR        ","14415 BLANCO RD STE 105       ",78216,177434
"OLIVE GARDEN OF TEXAS #1799   ","7811 INTERSTATE 35 S          ",78224,330788
MARGARITA MANIA & PARTY RENTAL,"3533 PITLUK AVE               ",78211,12559
"SALTGRASS STEAKHOUSE          ","11812 BANDERA RD              ",78023,530315
"FATSO'S SPORTS GARDEN         ","1704 BANDERA RD               ",78228,589472
"CABANA BEVERAGES INC          ","11722 IH 35 NORTH             ",78233,73727
"OJOS LOCOS SPORTS CANTINA     ","5809 NW LOOP 410              ",78238,2597647
"2015 PLACE                    ","2015 SAN PEDRO AVE            ",78212,279164
LUPE TORTILLA MEXICAN RESTAURA,"21103 US HIGHWAY 281 N        ",78258,680260
HOST/TRUE FLAVORS SAT TERMINAL,"9800 AIRPORT BLVD             ",78216,544276
"SOHO WINE & MARTINI BAR       ","235 E COMMERCE ST # 100       ",78205,385616
"Z'TEJAS SOUTHWESTERN GRILL    ","15900 LA CANTERA PKWY STE 25  ",78256,832078
"CHUY'S                        ","18008 SAN PEDRO AVE           ",78232,905978
"CLUB SIRIUS                   ","228 LOSOYA ST                 ",78205,677040
THE OLIVE GARDEN ITALIAN RESTA,"22503 US HIGHWAY 281 N        ",78258,218607
"MINNIES TAVERN                ","328 E JOSEPHINE ST            ",78215,11392
"BONEHEADZ SPORTS PUB          ","9503 CONSOLE DR               ",78229,559838
"CHARLIE WANTS A BURGERS       ","511 RIVER WALK ST             ",78205,439046
"MELLOW MUSHROOM               ","115 N LOOP 1604 E STE 2100    ",78232,258332
THE ORIGINAL MEXICAN RESTAURAN,"415 E COMMERCE ST             ",78205,1346229
"SUSTENIO                      ","17103 LA CANTERA PKWY         ",78256,1295232
"MARRIOT SAN ANTONIO           ","3233 NW LOOP 410              ",78213,108828
"THE ELEVENTH HOUR             ","5103 RANDOLPH BLVD            ",78233,66775
"LONDON SUB & PUB              ","8425 BANDERA RD STE 140       ",78250,512996
"TWENTY GRAND                  ","5943 BANDERA RD               ",78238,355325
"DREW'S                        ","18740 STONE OAK PKWY          ",78258,524917
"RUBY TUESDAY #5905            ","20831 US HIGHWAY 281 N        ",78258,84685
"H & G INC                     ","4503 DE ZAVALA RD STE 126     ",78249,5950
"CHIPOTLE MEXICAN GRILL        ","4727 MEDICAL DR               ",78229,8787
"WISH                          ","4553 N LOOP 1604 W STE 1133   ",78249,15900
"NICHA'S                       ","5059 NW LOOP 410              ",78229,436811
ROLLING OAKS GOLF CLUB BAR & G,"5550 MOUNTAIN VISTA DR        ",78247,376804
"STONE STREET PUB              ","16535 HUEBNER RD STE 105      ",78248,1314641
"LAS PALAPAS                   ","1615 N LOOP 1604 E            ",78232,52263
"LOS GENERALES                 ","16216 NACOGDOCHES RD          ",78247,147628
"SOME BEACH                    ","2831 NW LOOP 410              ",78230,577282
"LAS PALAPAS ALAMO RANCH       ","5603 W LOOP 1604 N            ",78253,146154
"OAK HILLS LANES               ","7330 CALLAGHAN RD             ",78229,248606
"WILLIE'S GRILL & ICEHOUSE     ","24200 W INTERSTATE 10 STE 11  ",78257,287186
"J ALEXANDER'S RESTAURANT      ","255 E BASSE RD STE 1300       ",78209,885648
"BEEF 'O' BRADY'S              ","8910 BANDERA RD # 305         ",78250,147358
