Name,Address,Zip,Amount
APPLEJAM BEVERAGE INC.,1305 N FM 1604 W,78258,310444
SILVER FOX,24802 IMA RUTH PKWY,78257,621856
THE CHEESECAKE FACTORY,15900 LA CANTERA PKWY STE 24100,78256,750177
BAR CENTRAL,442 W HILDEBRAND AVE,78212,0
BAR LOUIE,22610 US HIGHWAY 281 N,78258,1376472
RED LOBSTER RESTAURANT #386,1335 W W LOOP 410,78227,169811
VEGAS BAR,8826 HUEBNER RD,78240,376527
LONGHORN STEAKHOUSE #5364,5706 W LOOP 1604 N,78251,270898
HI-TONE,621 E DEWEY PL,78212,436433
VORTEX,26108 OVERLOOK PKWY STE 1100,78260,110486
FAST EDDIE'S NEIGHBORHOOD BILLIARDS & SALOON,11221 PERRIN BEITEL RD,78217,479001
OK WEST,2502 PLEASANTON RD,78221,410677
TEXAS ROADHOUSE - SAN ANTONIO,2893 CINEMA RDG,78238,794736
WHISKEY SMITH,6310 CALLAGHAN RD,78229,1036189
THE LAST WORD COCKTAIL BAR,229 E HOUSTON ST,78205,18154
HOULIHAN'S,938 N LOOP 1604 W,78232,681330
ROXY SPORTS BAR-CAFE,3249 WURZBACH RD,78238,565390
GROOVE I-10,3710 E COMMERCE ST,78219,6240
CANYON SPRINGS GOLF CLUB,24405 WILDERNESS OAK,78258,351951
MARKET RESTAURANT,13715 FM 1560 N,78023,127272
NICHA'S COMIDA MEXICANA,3119 ROOSEVELT AVE,78214,294332
MAIN STREET BAR AND CO,13477 WETMORE RD,78247,338719
TINK-A-TAKO #10,3227 SW MILITARY DR,78211,12367
PICANTE GRILL,3810 BROADWAY ST,78209,63734
"CHIPOTLE;CHIPOTLE MEXICAN GRILL;CHIPOTLE,BURRITOS ",11745 IH 10 WEST,78232,15551
THE HANGAR TAVERN,14532 BROOK HOLLOW BLVD,78232,573519
ROD DOG'S,2617 WAGON WHEEL ST,78217,359594
WILLIE'S GRILL & ICEHOUSE,8739 STATE HIGHWAY 151,78245,322555
TRA'S COUNTRY,4422 WALZEM RD,78218,132042
CALIFORNIA PIZZA KITCHEN,11745 W INTERSTATE 10 STE 418,78230,143094
SILVER SCREEN BAR,21025 ENCINO COMMONS STE 100,78259,103022
ICEHOUSE,401 PEARL PKWY,78215,355349
JACALA MEXICAN RESTAURANT,606 WEST AVE,78201,308825
GREENHOUSE ROOFTOP GARDEN,4553 N LOOP 1604 W,78249,547066
THE TURNING POINT,753 ISOM RD,78216,25369
BAR DU MON AMI,4901 BROADWAY ST STE 130,78209,234651
SALSALITO CANTINA,14535 NACOGDOCHES RD,78247,384394
BOTTOM BRACKET SOCIAL CLUB,1603 N COLORADO ST,78201,283582
