Common Name,Scientific Name,Group,State Status,Federal Status
Houston Toad,Anaxyrus houstonensis,Amphibians,Endangered,Endangered
Salado Salamander,Eurycea chisholmensis,Amphibians,,Threatened
Cascade Caverns Salamander,Eurycea latitans,Amphibians,Threatened,
San Marcos Salamander,Eurycea nana,Amphibians,Threatened,Threatened
Georgetown Salamander,Eurycea naufragia,Amphibians,,Threatened
Texas Blind Salamander,Eurycea rathbuni,Amphibians,Endangered,Endangered
Blanco Blind Salamander,Eurycea robusta,Amphibians,Threatened,
Barton Springs Salamander,Eurycea sosorum,Amphibians,Endangered,Endangered
Jollyville Salamander,Eurycea tonkawae,Amphibians,,Threatened
Comal Blind Salamander,Eurycea tridentifera,Amphibians,Threatened,
Austin blind salamander,Eurycea waterlooensis,Amphibians,,Endangered
Sheep Frog,Hypopachus variolosus,Amphibians,Threatened,
White-lipped Frog,Leptodactylus fragilis,Amphibians,Threatened,
Black-spotted Newt,Notophthalmus meridionalis,Amphibians,Threatened,
Mexican Burrowing Toad,Rhinophrynus dorsalis,Amphibians,Threatened,
South Texas Siren (large form),Sirensp. 1,Amphibians,Threatened,
Mexican Treefrog,Smilisca baudinii,Amphibians,Threatened,
Bachman's Sparrow,Aimophila aestivalis,Birds,Threatened,
Botteri's Sparrow,Aimophila botterii arizonae,Birds,Threatened,
Texas Botteri's Sparrow,Aimophila botterii texana,Birds,Threatened,
Sprague's Pipit,Anthus spragueii,Birds,,Candidate
White-tailed Hawk,Buteo albicaudatus,Birds,Threatened,
Zone-tailed Hawk,Buteo albonotatus,Birds,Threatened,
Gray Hawk,Buteo nitidus,Birds,Threatened,
Red Knot,Calidris canutus,Birds,,Candidate
Northern Beardless-tyrannulet,Camptostoma imberbe,Birds,Threatened,
Piping Plover,Charadrius melodus,Birds,Threatened,Threatened
Western Yellow-billed Cuckoo,Coccyzus americanus occidentails,Birds,,Candidate
Golden-cheeked Warbler,Dendroica chrysoparia,Birds,Endangered,Endangered
Reddish Egret,Egretta rufescens,Birds,Threatened,
Swallow-tailed Kite,Elanoides forficatus,Birds,Threatened,
Southwestern Willow Flycatcher,Empidonax traillii extimus,Birds,Endangered,Endangered
